UK00AL,52.63,-1.22
UK00AM,53.32,-1.20
UK00AN,52.73,-0.10
UK00AP,49.98,-2.82
UK00AQ,53.66,-3.37
UK00AS,53.55,-2.31
UK00AT,52.94,-0.86
UK00AU,50.69,-3.56
UK00AV,52.69,-3.75
UK00AY,51.60,-0.43
UK00AZ,54.66,-0.92
UK00B0,51.73,-2.74
UK00B1,51.21,-1.17
UK00B2,52.22,-1.45
UK00B5,50.88,-2.55
UK00B6,52.17,-1.66
UK00B7,58.65,-2.08
UK00B8,54.28,-6.72
UK00BA,51.41,-2.81
UK00BB,50.45,-4.74
UK00BC,51.60,0.66
UK00BD,51.96,-3.31
UK00BE,50.44,-0.86
UK00BF,53.45,-1.02
UK00BH,51.54,-0.23
UK00BJ,52.48,0.18
UK00BK,51.68,-2.53
UK00BL,51.66,-3.05
UK00BN,55.20,-3.55
UK00BQ,56.38,-0.98
UK00BW,51.37,-2.09
UK00C0,53.03,-3.39
UK00C1,53.01,-2.36
UK00C2,53.31,-1.86
UK00C3,55.04,-1.35
UK00C4,54.43,-6.61
UK00C6,50.42,-5.45
UK00C7,51.08,-0.00
UK00C9,52.87,-4.30
UK00CA,51.35,-0.61
UK00CC,51.76,0.51
UK00CD,53.58,-2.31
UK00CE,50.34,-1.25
UK00CH,53.46,-3.19
UK00CJ,51.42,1.39
UK00CK,51.70,-2.71
UK00CQ,52.35,-2.31
UK00CS,54.90,-3.70
UK00CT,56.30,-4.40
UK00CU,53.55,0.31
UK00CV,53.75,-2.06
UK00CZ,50.27,-3.34
UK00D6,51.07,1.74
UK00D7,52.42,0.61
UK00D9,52.70,-3.69
UK00DA,52.68,-2.62
UK00DB,54.25,-1.59
UK00DC,54.51,-1.90
UK00DD,54.65,-1.45
UK00DE,53.47,-3.07
UK00DF,53.93,-2.72
UK00DG,51.91,-3.34
UK00DH,51.29,-3.45
UK00DJ,53.38,-0.57
UK00DK,56.17,-2.10
UK00DL,51.56,-3.26
UK00DN,51.36,-1.38
UK00DQ,52.65,-1.39
UK00DT,51.11,-2.86
UK00DU,53.65,-1.82
